0.0052, 0.1206
0.0496, 0.1218
0.0712, 0.1224
0.0761, 0.1225
0.1008, 0.1232
0.1267, 0.1239
0.1368, 0.1241
0.1368, 0.1241
0.1391, 0.1242
0.1621, 0.1248
0.1666, 0.1250
0.1745, 0.1252
0.1990, 0.1259
0.2053, 0.1260
0.2073, 0.1261
0.2090, 0.1261
0.2138, 0.1263
0.2168, 0.1264
0.2347, 0.1269
0.2484, 0.1272
0.2841, 0.1283
0.2892, 0.1284
0.3024, 0.1288
0.3115, 0.1290
0.3165, 0.1292
0.3353, 0.1297
0.3992, 0.1316
0.4028, 0.1317
0.4604, 0.1335
0.4795, 0.1340
0.4843, 0.1342
0.5393, 0.1359
0.5400, 0.1359
0.5552, 0.1364
0.5608, 0.1366
0.5857, 0.1374
0.5963, 0.1377
0.5966, 0.1377
0.6018, 0.1379
0.7162, 0.1416
0.7359, 0.1423
0.7458, 0.1426
0.7576, 0.1430
0.7596, 0.1431
0.7823, 0.1438
0.7939, 0.1442
0.8018, 0.1445
0.8037, 0.1446
0.8039, 0.1446
0.8572, 0.1464
0.8934, 0.1477
0.9161, 0.1485
0.9305, 0.1490
0.9449, 0.1495
0.9791, 0.1508
0.9842, 0.1509
0.9961, 0.1514
1.0027, 0.1516
1.0215, 0.1523
1.0272, 0.1525
1.1092, 0.1556
1.1474, 0.1571
1.1858, 0.1586
1.2007, 0.1592
1.2098, 0.1595
1.2840, 0.1625
1.2987, 0.1631
1.3284, 0.1643
1.3315, 0.1645
1.3547, 0.1654
1.3562, 0.1655
1.3571, 0.1655
1.3900, 0.1669
1.4853, 0.1710
1.5031, 0.1718
1.5281, 0.1729
1.5282, 0.1729
1.5396, 0.1734
1.5586, 0.1743
1.5806, 0.1753
1.5916, 0.1758
1.5945, 0.1759
1.6100, 0.1766
1.6464, 0.1783
1.6578, 0.1789
1.6583, 0.1789
1.6623, 0.1791
1.6694, 0.1794
1.6846, 0.1801
1.6912, 0.1804
1.7008, 0.1809
1.7442, 0.1830
1.7869, 0.1851
1.7928, 0.1854
1.7961, 0.1855
1.8188, 0.1867
1.8212, 0.1868
1.8388, 0.1877
1.8630, 0.1889
1.8650, 0.1890
1.8892, 0.1902
1.8974, 0.1907
1.9354, 0.1926
1.9416, 0.1930
1.9833, 0.1952
1.9917, 0.1956
1.9923, 0.1957
1.9964, 0.1959
2.0158, 0.1969
2.0401, 0.1983
2.0851, 0.2007
2.0970, 0.2014
2.1386, 0.2038
2.1722, 0.2057
2.1794, 0.2061
2.1865, 0.2065
2.1883, 0.2066
2.2177, 0.2083
2.2246, 0.2087
2.2268, 0.2089
2.2311, 0.2091
2.2528, 0.2104
2.2618, 0.2110
2.2860, 0.2124
2.2866, 0.2125
2.2883, 0.2126
2.2915, 0.2128
2.2950, 0.2130
2.3092, 0.2138
2.3219, 0.2146
2.3571, 0.2168
2.3779, 0.2181
2.4162, 0.2205
2.4400, 0.2221
2.4425, 0.2222
2.4452, 0.2224
2.4501, 0.2227
2.4584, 0.2233
2.4611, 0.2234
2.4685, 0.2239
2.5262, 0.2277
2.5341, 0.2283
2.5722, 0.2309
2.5898, 0.2321
2.5927, 0.2323
2.6014, 0.2329
2.6175, 0.2340
2.6832, 0.2387
2.7256, 0.2417
2.7399, 0.2428
2.7814, 0.2459
2.8058, 0.2477
2.8132, 0.2483
2.8498, 0.2511
2.8578, 0.2517
2.8998, 0.2550
2.9236, 0.2569
2.9416, 0.2584
2.9500, 0.2590
2.9563, 0.2596
2.9601, 0.2599
2.9645, 0.2602
2.9939, 0.2627
3.0004, 0.2632
3.0139, 0.2643
3.0311, 0.2658
3.0435, 0.2668
3.0613, 0.2683
3.0671, 0.2688
3.0792, 0.2699
3.1525, 0.2763
3.1682, 0.2777
3.1754, 0.2783
3.1775, 0.2785
3.1956, 0.2802
3.2011, 0.2807
3.2099, 0.2815
3.2274, 0.2831
3.2552, 0.2857
3.2941, 0.2894
3.2958, 0.2895
3.3425, 0.2941
3.3522, 0.2950
3.3556, 0.2953
3.3567, 0.2954
3.3634, 0.2961
3.3700, 0.2968
3.3739, 0.2971
3.3854, 0.2983
3.4011, 0.2999
3.4659, 0.3065
3.4693, 0.3069
3.5082, 0.3110
3.5568, 0.3162
3.5909, 0.3199
3.6022, 0.3212
3.6224, 0.3234
3.6286, 0.3241
3.6803, 0.3300
3.7062, 0.3331
3.7104, 0.3336
3.7144, 0.3340
3.7428, 0.3374
3.7469, 0.3379
3.7699, 0.3407
3.7724, 0.3410
3.7788, 0.3418
3.8294, 0.3480
3.8432, 0.3497
3.8437, 0.3498
3.8442, 0.3499
3.8477, 0.3503
3.8531, 0.3510
3.9185, 0.3594
3.9249, 0.3603
3.9470, 0.3632
3.9599, 0.3649
3.9881, 0.3687
4.0096, 0.3717
4.0130, 0.3722
4.0229, 0.3735
4.0451, 0.3766
4.0574, 0.3784
4.0858, 0.3824
4.1184, 0.3871
4.1941, 0.3985
4.2017, 0.3996
4.2052, 0.4002
4.2125, 0.4013
4.2328, 0.4044
4.2441, 0.4062
4.2713, 0.4105
4.3500, 0.4233
4.3618, 0.4253
4.3738, 0.4273
4.3868, 0.4295
4.4019, 0.4321
4.4222, 0.4356
4.4426, 0.4392
4.4471, 0.4400
4.4500, 0.4405
4.4678, 0.4436
4.4861, 0.4469
4.4936, 0.4483
4.5330, 0.4555
4.5338, 0.4556
4.5465, 0.4580
4.5570, 0.4600
4.5915, 0.4665
4.6639, 0.4807
4.6671, 0.4814
4.6699, 0.4819
4.7092, 0.4899
4.7116, 0.4904
4.7169, 0.4915
4.7640, 0.5014
4.7686, 0.5024
4.7767, 0.5041
4.7771, 0.5042
4.8173, 0.5130
4.8220, 0.5140
4.8275, 0.5152
4.8364, 0.5172
4.8871, 0.5286
4.9371, 0.5403
4.9480, 0.5429
4.9642, 0.5468
4.9708, 0.5484
4.9950, 0.5543
5.0278, 0.5625
5.0283, 0.5626
5.0378, 0.5650
5.0475, 0.5675
5.0813, 0.5762
5.0852, 0.5772
5.0973, 0.5804
5.1005, 0.5812
5.1028, 0.5818
5.1466, 0.5935
5.1637, 0.5982
5.1946, 0.6068
5.2098, 0.6110
5.2587, 0.6251
5.2770, 0.6305
5.3005, 0.6375
5.3493, 0.6524
5.3591, 0.6555
